关卡,蓝球,红球,绿球,黄球,紫球,总行数,石头,雪块,炸弹,彩虹球,燃烧瓶,蓝分裂球,红分裂球,绿分裂球,黄分裂球,紫分裂球,钥匙,锁定球,收集目标1,收集目标2,发射球数量,通关率
1,12,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,-,13,97.0%
2,19,8,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,-,24,97.0%
3,19,15,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,-,24,97.0%
4,20,12,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,G:6,-,23,97.0%
5,20,9,19,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,-,24,97.0%
6,20,15,13,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,-,24,97.0%
7,20,13,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,-,24,97.0%
8,12,9,17,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,R:4,-,22,97.0%
9,15,8,13,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,-,24,97.0%
10,12,12,11,13,0,8,1,0,0,0,0,0,0,0,0,0,0,0,12,-,24,97.0%
11,11,15,12,5,0,8,2,0,0,0,0,0,0,0,0,0,0,0,11,-,25,97.0%
12,16,8,16,9,0,8,0,0,0,1,0,0,0,0,0,0,0,0,R:4,-,22,97.0%
13,16,11,11,12,0,8,0,0,0,1,0,0,0,0,0,0,0,0,13,-,24,97.0%
14,11,13,11,0,15,8,1,0,1,0,0,0,0,0,0,0,0,0,13,-,24,97.0%
15,12,12,7,0,13,8,2,0,1,0,0,0,0,0,0,0,0,0,11,-,24,97.0%
16,15,12,13,0,15,8,0,1,0,0,0,0,0,0,0,0,0,0,R:5,雪球:1,23,97.0%
17,15,9,11,0,13,8,0,1,1,0,0,0,0,0,0,0,0,0,12,雪球:1,25,97.0%
18,15,12,9,0,13,8,1,1,0,0,0,0,0,0,0,0,0,0,12,雪球:1,25,96.2%
19,16,11,9,0,12,8,1,1,1,0,0,0,0,0,0,0,0,0,12,雪球:1,25,97.0%
20,15,8,11,0,5,8,2,1,1,1,0,0,0,0,0,0,0,0,R:4,雪球:1,23,97.0%
21,10,7,11,10,0,8,1,1,1,1,0,0,0,0,0,0,0,0,10,雪球:1,24,97.0%
22,13,4,11,8,0,8,1,1,1,1,0,0,0,0,0,0,0,0,9,雪球:1,24,97.0%
23,11,3,10,9,0,8,2,1,1,1,0,0,0,0,0,0,0,0,8,雪球:1,24,97.0%
24,12,8,12,10,0,8,2,1,1,1,0,0,0,0,0,0,0,0,R:4,雪球:1,23,97.0%
25,10,9,12,7,0,8,2,1,1,1,0,0,0,0,0,0,0,0,10,雪球:1,25,97.0%
26,9,6,13,9,0,8,2,1,1,1,0,0,0,0,0,0,0,0,9,雪球:1,25,97.0%
