levelId,code,levelType,playMode,passed,simulatorError,attempt,seed,state,shotLimit,shotsFired,clearRemainingShots,timeLimitSeconds,remainingTimeSeconds,score,boardCells,sourceName,errorMessage
501,L501_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,642763371,won_settlement_pending,41,20,21,,,27704,0,levels_pack_501_600.json#level_501,
502,L502_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,3289795608,won_settlement_pending,42,25,17,,,29837,0,levels_pack_501_600.json#level_502,
503,L503_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,1541339081,lost_objective,42,9,33,,,6036,0,levels_pack_501_600.json#level_503,
504,L504_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,2,2010458095,won_settlement_pending,42,24,18,,,11936,2,levels_pack_501_600.json#level_504,
505,L505_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,2679235367,won_settlement_pending,42,39,3,,,12165,0,levels_pack_501_600.json#level_505,
506,L506_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,1031301844,won_settlement_pending,43,36,7,,,17248,0,levels_pack_501_600.json#level_506,
507,L507_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,2,1564258844,won_settlement_pending,43,32,11,,,23218,4,levels_pack_501_600.json#level_507,
508,L508_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,2,4244097195,out_of_shots_add_ball_prompt,44,44,0,,,8824,16,levels_pack_501_600.json#level_508,
509,L509_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,2,2662221690,lost_objective,45,26,19,,,7439,4,levels_pack_501_600.json#level_509,
510,L510_FULL_SYSTEM_MASTERY,special_floating_island,timed_infinite_shots,false,false,2,946265353,lost_objective,,47,,90,0,24860,36,levels_pack_501_600.json#level_510,
511,L511_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,1415906625,won_settlement_pending,41,27,14,,,47955,0,levels_pack_501_600.json#level_511,
512,L512_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,2,1678889367,won_settlement_pending,42,28,14,,,23350,0,levels_pack_501_600.json#level_512,
513,L513_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2314483391,lost_objective,42,35,7,,,8166,0,levels_pack_501_600.json#level_513,
514,L514_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,800897132,won_settlement_pending,42,32,10,,,17092,2,levels_pack_501_600.json#level_514,
515,L515_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,2,1132166276,lost_objective,42,37,5,,,8650,0,levels_pack_501_600.json#level_515,
516,L516_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,1661969866,won_settlement_pending,43,12,31,,,17279,0,levels_pack_501_600.json#level_516,
517,L517_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,47591291,won_settlement_pending,43,43,0,,,13855,4,levels_pack_501_600.json#level_517,
518,L518_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2694762792,out_of_shots_add_ball_prompt,44,44,0,,,5772,43,levels_pack_501_600.json#level_518,
519,L519_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,2,3365209664,won_settlement_pending,45,41,4,,,12775,4,levels_pack_501_600.json#level_519,
520,L520_FULL_SYSTEM_MASTERY,special_floating_island,timed_infinite_shots,false,false,2,1783471135,lost_objective,,43,,90,0,10221,36,levels_pack_501_600.json#level_520,
521,L521_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,2050507831,won_settlement_pending,41,14,27,,,24777,0,levels_pack_501_600.json#level_521,
522,L522_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,432066532,won_settlement_pending,42,30,12,,,18973,0,levels_pack_501_600.json#level_522,
523,L523_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,2,834088716,won_settlement_pending,42,20,22,,,21178,0,levels_pack_501_600.json#level_523,
524,L524_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,1565784898,won_settlement_pending,42,33,9,,,37452,2,levels_pack_501_600.json#level_524,
525,L525_TRAPPED_SPRITE_RESCUE,trapped_sprite_rescue,shot_limited,false,true,2,2099657834,simulator_error,41,11,30,,,1228,93,levels_pack_501_600.json#level_525,Trapped sprite rescue bubble impact requires an attachment cell.
526,L526_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2434983072,lost_objective,43,7,36,,,5336,0,levels_pack_501_600.json#level_526,
527,L527_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,820866641,lost_objective,43,42,1,,,8497,4,levels_pack_501_600.json#level_527,
528,L528_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,2,1485328007,won_settlement_pending,44,34,10,,,13742,4,levels_pack_501_600.json#level_528,
529,L529_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,1954323407,lost_objective,45,38,7,,,8290,4,levels_pack_501_600.json#level_529,
530,L530_FULL_SYSTEM_MASTERY,special_floating_island,timed_infinite_shots,false,false,1,168238460,lost_objective,,50,,90,0,9361,44,levels_pack_501_600.json#level_530,
531,L531_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,2848950061,won_settlement_pending,41,25,16,,,22501,0,levels_pack_501_600.json#level_531,
532,L532_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,1335234266,won_settlement_pending,42,30,12,,,14623,0,levels_pack_501_600.json#level_532,
533,L533_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,3982405771,lost_objective,42,24,18,,,7322,0,levels_pack_501_600.json#level_533,
534,L534_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,2204711480,won_settlement_pending,42,34,8,,,20486,2,levels_pack_501_600.json#level_534,
535,L535_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,556908009,won_settlement_pending,42,17,25,,,29845,0,levels_pack_501_600.json#level_535,
536,L536_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,3237488534,won_settlement_pending,43,43,0,,,13942,0,levels_pack_501_600.json#level_536,
537,L537_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,1719707975,won_settlement_pending,43,20,23,,,28337,4,levels_pack_501_600.json#level_537,
538,L538_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,2,2323058285,out_of_shots_add_ball_prompt,44,44,0,,,8273,31,levels_pack_501_600.json#level_538,
539,L539_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,2584992421,out_of_shots_add_ball_prompt,45,45,0,,,6925,38,levels_pack_501_600.json#level_539,
540,L540_FULL_SYSTEM_MASTERY,special_floating_island,timed_infinite_shots,false,false,1,970611794,lost_objective,,42,,90,0,12963,27,levels_pack_501_600.json#level_540,
541,L541_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,3756180995,lost_objective,41,9,32,,,7748,0,levels_pack_501_600.json#level_541,
542,L542_TRAPPED_SPRITE_RESCUE,trapped_sprite_rescue,shot_limited,true,false,2,4086372137,won_settlement_pending,41,26,15,,,18112,0,levels_pack_501_600.json#level_542,
543,L543_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,2,2638851576,won_settlement_pending,42,27,15,,,20628,0,levels_pack_501_600.json#level_543,
544,L544_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,2973529390,won_settlement_pending,42,22,20,,,22410,2,levels_pack_501_600.json#level_544,
545,L545_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,1355087071,won_settlement_pending,42,17,25,,,26801,0,levels_pack_501_600.json#level_545,
546,L546_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,4136593036,won_settlement_pending,43,19,24,,,43883,0,levels_pack_501_600.json#level_546,
547,L547_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,2,443266724,out_of_shots_add_ball_prompt,43,43,0,,,8776,16,levels_pack_501_600.json#level_547,
548,L548_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,2,2753744243,out_of_shots_add_ball_prompt,44,44,0,,,7751,22,levels_pack_501_600.json#level_548,
549,L549_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,2,1175800578,won_settlement_pending,45,27,18,,,15209,4,levels_pack_501_600.json#level_549,
550,L550_FULL_SYSTEM_MASTERY,special_floating_island,timed_infinite_shots,true,false,2,3788358097,won,,15,,90,59.45,26512,4,levels_pack_501_600.json#level_550,
551,L551_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,230164217,won_settlement_pending,41,8,33,,,36039,0,levels_pack_501_600.json#level_551,
552,L552_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,2,763156031,won_settlement_pending,42,42,0,,,11844,0,levels_pack_501_600.json#level_552,
553,L553_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,2,3476516046,won_settlement_pending,42,34,8,,,17090,0,levels_pack_501_600.json#level_553,
554,L554_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,3771970564,won_settlement_pending,42,20,22,,,17417,2,levels_pack_501_600.json#level_554,
555,L555_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,2258255797,won_settlement_pending,42,14,28,,,12934,0,levels_pack_501_600.json#level_555,
556,L556_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,614637922,won_settlement_pending,43,33,10,,,13202,0,levels_pack_501_600.json#level_556,
557,L557_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,3127716627,won_settlement_pending,43,33,10,,,13055,4,levels_pack_501_600.json#level_557,
558,L558_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,1479922368,out_of_shots_add_ball_prompt,44,44,0,,,4638,79,levels_pack_501_600.json#level_558,
559,L559_FULL_SYSTEM_MASTERY,normal,shot_limited,false,false,1,4294726769,lost_objective,45,13,32,,,8153,4,levels_pack_501_600.json#level_559,
560,L560_FULL_SYSTEM_MASTERY,special_floating_island,timed_infinite_shots,true,false,2,330858663,won,,21,,90,41.2,17429,4,levels_pack_501_600.json#level_560,
561,L561_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,2,3178438518,won_settlement_pending,41,16,25,,,67486,0,levels_pack_501_600.json#level_561,
562,L562_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,3507997596,won_settlement_pending,42,21,21,,,19249,0,levels_pack_501_600.json#level_562,
563,L563_TRAPPED_SPRITE_RESCUE,trapped_sprite_rescue,shot_limited,false,true,2,4276229076,simulator_error,41,4,37,,,90,120,levels_pack_501_600.json#level_563,Trapped sprite rescue bubble impact requires an attachment cell.
564,L564_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,384234746,won_settlement_pending,42,31,11,,,12572,2,levels_pack_501_600.json#level_564,
565,L565_FULL_SYSTEM_MASTERY,normal,shot_limited,true,false,1,3031531179,won_settlement_pending,42,25,17,,,19732,0,levels_pack_501_600.json#level_565,
