levelId,code,levelType,playMode,passed,simulatorError,attempt,seed,state,shotLimit,shotsFired,clearRemainingShots,timeLimitSeconds,remainingTimeSeconds,score,boardCells,sourceName,errorMessage
1,L001_CLUSTER_FUNDAMENTALS,normal,shot_limited,true,false,1,451515555,won_settlement_pending,12,4,8,,,17058,0,level_001.json,
2,L002_CLUSTER_FUNDAMENTALS,normal,shot_limited,true,false,1,3098549872,won_settlement_pending,15,7,8,,,22139,0,level_002.json,
3,L003_CLUSTER_FUNDAMENTALS,normal,shot_limited,true,false,1,1584955393,won_settlement_pending,11,9,2,,,5014,0,level_003.json,
4,L004_CLUSTER_FUNDAMENTALS,normal,shot_limited,true,false,1,4228058070,won_settlement_pending,10,6,4,,,13233,0,level_004.json,
5,L005_CLUSTER_FUNDAMENTALS,normal,shot_limited,false,false,1,2479590759,lost_objective,10,4,6,,,2863,0,level_005.json,
6,L006_CLUSTER_FUNDAMENTALS,normal,shot_limited,false,false,1,831665972,lost_objective,14,5,9,,,2567,0,level_006.json,
7,L007_CLUSTER_FUNDAMENTALS,normal,shot_limited,false,false,1,3613048517,lost_objective,10,5,5,,,3018,0,level_007.json,
8,L008_CLUSTER_FUNDAMENTALS,normal,shot_limited,true,false,1,1969561754,won_settlement_pending,13,8,5,,,10828,0,level_008.json,
9,L009_CLUSTER_FUNDAMENTALS,normal,shot_limited,true,false,1,187542059,won_settlement_pending,21,16,5,,,8406,0,level_009.json,
10,L010_LEGACY_SKILL_INTRO,special_floating_island,timed_infinite_shots,true,false,1,2868129272,won,,9,,90,81.1,6470,0,level_010.json,
11,L011_LEGACY_SKILL_INTRO,normal,shot_limited,true,false,1,1220335497,won_settlement_pending,10,7,3,,,12905,0,levels_pack_011_100.json#level_011,
12,L012_LEGACY_SKILL_INTRO,normal,shot_limited,false,false,1,3997653342,out_of_shots_add_ball_prompt,12,12,0,,,9233,9,levels_pack_011_100.json#level_012,
13,L013_LEGACY_SKILL_INTRO,normal,shot_limited,false,false,1,2349842671,out_of_shots_add_ball_prompt,12,12,0,,,4081,27,levels_pack_011_100.json#level_013,
14,L014_LEGACY_SKILL_INTRO,normal,shot_limited,false,false,1,601246396,out_of_shots_add_ball_prompt,10,10,0,,,6383,12,levels_pack_011_100.json#level_014,
15,L015_LEGACY_SKILL_INTRO,normal,shot_limited,true,false,1,3248409677,won_settlement_pending,17,8,9,,,13966,0,levels_pack_011_100.json#level_015,
16,L016_ICE_ROUTE_TRAINING,normal,shot_limited,true,false,1,1739159042,won_settlement_pending,21,5,16,,,26490,0,levels_pack_011_100.json#level_016,
17,L017_ICE_ROUTE_TRAINING,normal,shot_limited,true,false,1,91355603,won_settlement_pending,10,10,0,,,8815,0,levels_pack_011_100.json#level_017,
18,L018_ICE_ROUTE_TRAINING,normal,shot_limited,true,false,1,2604163936,won_settlement_pending,24,15,9,,,16840,0,levels_pack_011_100.json#level_018,
19,L019_ICE_ROUTE_TRAINING,normal,shot_limited,true,false,1,985720113,won_settlement_pending,16,7,9,,,25856,0,levels_pack_011_100.json#level_019,
20,L020_ICE_ROUTE_TRAINING,special_floating_island,timed_infinite_shots,true,false,1,3633016006,won,,9,,90,79.4,11333,0,levels_pack_011_100.json#level_020,
21,L021_ICE_ROUTE_TRAINING,normal,shot_limited,false,false,1,2119308951,out_of_shots_add_ball_prompt,17,17,0,,,1370,36,levels_pack_011_100.json#level_021,
